xid,rera_no,state,proj_name,prom_name,project_type,project_sub_type,project_comp_date,proj_status,total_area,num_of_towers,project_address,project_desc
PRM/KA/RERA/1250/304/PR/210312/004001,PRM/KA/RERA/1250/304/PR/210312/004001,Karnatka,TRIAXIS SPLENDOUR +,M S TRIAXIS INFRA PROJECTS,Residential/Group Housing,,31-12-2024,New Project Launch,2933,,"Sy No.119/1 Old Sy No.119 Dandupalya Village Kasaba Hobli, Hosakote Taluk Bangalore Rural District",
PRM/KA/RERA/1251/446/PR/150724/006941,PRM/KA/RERA/1251/446/PR/150724/006941,Karnatka,ISLE OF TREES,HAPPINESS HARMONY PROPERTY DEVELOPERS PRIVATE LIMITED,Residential/Group Housing,Apartment,29-05-2028,New Project Launch,10994,2,"Survey No 85/2 85/3B and 85/4 Katha No 38/85/2/85/3B/85/4 of Rachenahalli Village, Ward - 006 , K.R. Puram Hobli , Bengaluru East , Bengaluru Urban, Karnataka - 560077",
PRM/KA/RERA/1251/310/PR/220722/005096,PRM/KA/RERA/1251/310/PR/220722/005096,Karnatka,MARS THE PLANET,M/S MARS BUILDERS,Residential/Group Housing,Apartment,31-03-2029,Ongoing,9233,1,,
PRM/KA/RERA/1251/446/PR/020822/005125,PRM/KA/RERA/1251/446/PR/020822/005125,Karnatka,AROUND THE LIFE,KEYA HOMES PVT LTD,Residential/Group Housing,Apartment,30-06-2025,New Project Launch,18918,3,,
PRM/KA/RERA/1251/310/PR/040924/006989,PRM/KA/RERA/1251/310/PR/040924/006989,Karnatka,BIRLA OJASVI,BIRLA ESTATES PRIVATE LIMITED,Residential/Group Housing,Mixed,11/1/2031,New Project Launch,41429,4,,
PRM/KA/RERA/1251/446/PR/081123/006382,PRM/KA/RERA/1251/446/PR/081123/006382,Karnatka,PRESTIGE GLENBROOK,PRESTIGE ESTATES PROJECTS LTD,Residential/Group Housing,Apartment,30-06-2027,New Project Launch,18229,2,"KATHA NO. 153/25/1/1, SY NO. 25/1B & 35, , NELLURAHALLI VILLAGE, WHITE FIELD, K R PURAM, WARD NO. 84, BENGALURU EAST TALUK, BENGALURU , Bengaluru East , Bengaluru Urban, Karnataka - 560066",
PRM/KA/RERA/1250/301/PR/251024/007178,PRM/KA/RERA/1250/301/PR/251024/007178,Karnatka,DS MAX SKY SISIRA,DS MAX PROPERTIES PRIVATE LIMITED,Residential/Group Housing,Apartment,30-09-2030,New Project Launch,19728,1,"Sy No. 29/1 and 29/2 Bearing Khatha No 514/146/29/1 and 29/2 (PID No. 3343022532) , At Bisuvanahalli Village, Kasaba Hobli , Doddaballapura , Bengaluru Rural, Karnataka - 561203",
PRM/KA/RERA/1251/310/PR/190722/005086,PRM/KA/RERA/1251/310/PR/190722/005086,Karnatka,BRIGADE HORIZON,BRIGADE ENTERPRISES LIMITED,Residential/Group Housing,Apartment,31-12-2026,New Project Launch,20234,18,"Survey No’s 248/1 and 248/2, , Kambipura Village, Kengeri Hobli, Bangalore South Taluk , Bengaluru South , Bengaluru Urban, Karnataka - 560060",
PRM/KA/RERA/1251/472/PR/190204/002350,PRM/KA/RERA/1251/472/PR/190204/002350,Karnatka,PURVA ATMOSPHERE,PURAVANKARA LIMITED,Residential/Group Housing,,30-12-2025,New Project Launch,51849,,"Khata 479/95/1 Thanisandra Main Road, K R Puram Hobli",
PRM/KA/RERA/1251/446/PR/210312/004002,PRM/KA/RERA/1251/446/PR/210312/004002,Karnatka,DS MAX SKY SHUBHAM,DS MAX PROPERTIES PRIVATE LIMITED,Residential/Group Housing,,31-03-2027,New Project Launch,15877,,"SY NO: 118/1,118/2, situated at Kithaganur village, Kithaganur grama panchayath, Bidarahalli, Hobli, Bangalore East Taluk",
