XID,Project Name,Unit Type,Area,Price,Area Type
8072,Ruparel Ariana,3 BHK 1351 Sq. Ft. Apartment,1351 Sq. Ft.,Rs 4.14 Cr,(Carpet)
6554,Newa Garden,2 BHK 1100 Sq. Ft. Apartment,1100 Sq. Ft.,Price on Request,(Saleable)
8130,Paradise Sai Miracle,2 BHK 1225 Sq. Ft. Apartment,1225 Sq. Ft.,Rs 1.99 Cr,(Saleable)
8130,Paradise Sai Miracle,2 BHK 1265 Sq. Ft. Apartment,1265 Sq. Ft.,Rs 2.06 Cr,(Saleable)
8130,Paradise Sai Miracle,3 BHK 3125 Sq. Ft. Apartment,3125 Sq. Ft.,Rs 5.09 Cr,(Saleable)
8130,Paradise Sai Miracle,3 BHK 2500 Sq. Ft. Apartment,2500 Sq. Ft.,Rs 4.07 Cr,(Saleable)
8130,Paradise Sai Miracle,3 BHK 1710 Sq. Ft. Apartment,1710 Sq. Ft.,Rs 2.78 Cr,(Saleable)
8130,Paradise Sai Miracle,3 BHK 1685 Sq. Ft. Apartment,1685 Sq. Ft.,Rs 2.74 Cr,(Saleable)
8678,Paradise Sai Riverdale,1 BHK 690 Sq. Ft. Apartment,690 Sq. Ft.,Rs 62.01 L,(Saleable)
8678,Paradise Sai Riverdale,2 BHK 1115 Sq. Ft. Apartment,1115 Sq. Ft.,Rs 1.00 Cr,(Saleable)
86837,Nahar Laurel and Lilac,2 BHK 960 Sq. Ft. Apartment,960 Sq. Ft.,Rs 1.90 Cr,(Saleable)
86837,Nahar Laurel and Lilac,2 BHK 970 Sq. Ft. Apartment,970 Sq. Ft.,Rs 1.92 Cr,(Saleable)
86837,Nahar Laurel and Lilac,4 BHK 2000 Sq. Ft. Apartment,2000 Sq. Ft.,Rs 3.96 Cr,(Saleable)
86837,Nahar Laurel and Lilac,4 BHK 1940 Sq. Ft. Apartment,1940 Sq. Ft.,Rs 3.84 Cr,(Saleable)
431693,Arkade Vistas,2 BHK 688 Sq. Ft. Apartment,688 Sq. Ft.,Rs 2.17 Cr,(Carpet)
431693,Arkade Vistas,2 BHK 715 Sq. Ft. Apartment,715 Sq. Ft.,Rs 2.26 Cr,(Carpet)
431693,Arkade Vistas,3 BHK 952 Sq. Ft. Apartment,952 Sq. Ft.,Rs 3.00 Cr,(Carpet)
431693,Arkade Vistas,3 BHK 1060 Sq. Ft. Apartment,1060 Sq. Ft.,Rs 3.34 Cr,(Carpet)
432448,Arkade Rare,2 BHK 524 Sq. Ft. Apartment,524 Sq. Ft.,Rs 1.32 Cr,(Carpet)
432448,Arkade Rare,2 BHK 734 Sq. Ft. Apartment,734 Sq. Ft.,Rs 1.85 Cr,(Carpet)
432448,Arkade Rare,3 BHK 803 Sq. Ft. Apartment,803 Sq. Ft.,Rs 2.02 Cr,(Carpet)
432448,Arkade Rare,3 BHK 912 Sq. Ft. Apartment,912 Sq. Ft.,Rs 2.30 Cr,(Carpet)
427058,JP Codename StarLife,1 BHK 388 Sq. Ft. Apartment,388 Sq. Ft.,Rs 70.00 Lac,(Carpet)
427058,JP Codename StarLife,1 BHK 407 Sq. Ft. Apartment,407 Sq. Ft.,Rs 75.00 Lac,(Carpet)
427058,JP Codename StarLife,1 BHK 321 Sq. Ft. Apartment,321 Sq. Ft.,Rs 57.91 Lac,(Carpet)
427058,JP Codename StarLife,2 BHK 635 Sq. Ft. Apartment,635 Sq. Ft.,Rs 1.07 Cr,(Carpet)
427058,JP Codename StarLife,2 BHK 702 Sq. Ft. Apartment,702 Sq. Ft.,Rs 1.15 Cr,(Carpet)
427058,JP Codename StarLife,2 BHK 779 Sq. Ft. Apartment,779 Sq. Ft.,Rs 1.35 Cr,(Carpet)
427058,JP Codename StarLife,3 BHK 925 Sq. Ft. Apartment,925 Sq. Ft.,Rs 1.60 Cr,(Carpet)
427058,JP Codename StarLife,3 BHK 1025 Sq. Ft. Apartment,1025 Sq. Ft.,Rs 1.80 Cr,(Carpet)
427058,JP Codename StarLife,265 Sq. Ft. Retail Shop,265 Sq. Ft.,Price on Request,(Carpet)
427058,JP Codename StarLife,414 Sq. Ft. Retail Shop,414 Sq. Ft.,Price on Request,(Carpet)
433630,Arihant Avanti,1 BHK 365 Sq. Ft. Apartment,365 Sq. Ft.,Rs 45.00 Lac,(Carpet)
433630,Arihant Avanti,2 BHK 521 Sq. Ft. Apartment,521 Sq. Ft.,Rs 59.00 Lac,(Carpet)
433630,Arihant Avanti,2 BHK 579 Sq. Ft. Apartment,579 Sq. Ft.,Rs 63.00 Lac,(Carpet)
427471,DGS Sheetal Kiara,1 BHK 410 Sq. Ft. Apartment,410 Sq. Ft.,Rs 1.07 Cr,(Carpet)
427471,DGS Sheetal Kiara,1 BHK 417 Sq. Ft. Apartment,417 Sq. Ft.,Rs 1.08 Cr,(Carpet)
427471,DGS Sheetal Kiara,2 BHK 593 Sq. Ft. Apartment,593 Sq. Ft.,Rs 1.54 Cr,(Carpet)
427471,DGS Sheetal Kiara,2 BHK 631 Sq. Ft. Apartment,631 Sq. Ft.,Rs 1.64 Cr,(Carpet)
